power_supply,Budget brand,"coolermaster,enermax,zalman,cougar,sven,chieftec,airmax,hiper,segotep,aerocool,vortex,deepcool,raidmax,crown,air-cool,wintek"
projector,Affordable brand,"panasonic,dune,xiaomi,byintek,epson"
screw,Affordable brand,bosch
saw,Mid-range brand,"mateus,makita,milwaukee,fubag,metabo,stihl,al-ko"
pillow,Budget brand,"ekonomia,spalenka,magkijson,monro,edem,osminozka,kroskindom,madamecoco,dormeo,sonnaaskazka,almaks,bio-tekstil,mirodel,tradiciatekstila,ecotex,candide,kupu-kupu,mariaiskusnica,intex,vesta,alvitek,stilvasejspalni,ol-tex,arua,tesma,belashoff,smarttextile,edelvejs,avrorateksdizajn,miromaks,legkiesny,selena,verossa,adel,stolicatekstila,sonoterra,tamish"
environment,Mid-range brand,"metabo,roborock,hubert,danke,electrolux,makita,haier,fantasia,volcano,samsung,lg,thomas,lessar,miele,nagano,deton,stihl,fubag,milwaukee,hotpoint-ariston,delonghi,gree,bissell"
ski,Mid-range brand,"dynastar,alpina,head,volkl"
refrigerators,Mid-range brand,"dometic,haier,ezetil,franke,vasin,zanussi,electrolux,schaublorenz,snez,hotpoint-ariston,korting,lg,candy,samsung,pozis"
smartphone,,""
iron,High-end brand,"bork,laurastar"
